<Trait>	disease1	disease2
AM7	4	73
AM11	9	608
AM12	1	810
AM14	3	0
AM17	5	2430
AM27	1	1840
AM30	NA	3300
AM32	9	3000
AM40	9	82.8
AM43	9	75
AM44	0	145
AM46	3	150
AM47	4	576
AM48	9	810
AM50	9	810
AM51	9	1990
AM52	4	0
AM54	8	24.4
AM55	8	2800
AM56	0	2530
AM57	9	1520
AM58	9	1970
AM59	9	405
AM61	7	1040
AM63	8	150
AM64	8	3300
AM70	9	82.8
AM71	8	648
AM72	9	-
AM74	9	146
AM76	9	20.7
AM77	7	405
AM79	4	608
AM80	9	1008
AM81	8	187.5
AM82	8	288
AM84	9	2530
AM85	9	24.4
AM86	7	146
AM89	9	980
AM90	9	0
AM94	9	810
AM98	8	288
AM99	8	1080
AM101	8	608
AM102	9	73
AM103	3	146
AM104	9	3300
AM106	8	3100
AM107	3	1080
AM109	9	2530
AM112	9	1300
AM114	9	24.4
AM115	9	372
AM116	5	292
AM117	9	363
AM118	9	24.4
AM119	9	75
AM121	8	1008
AM122	0	2530
AM123	9	187.5
AM124	5	2380
AM125	9	1620
AM126	NA	2160
AM127	9	1640
AM128	4	41.4
AM129	4	1790
AM130	9	744
AM131	9	576
AM132	NA	1520
AM133	9	2430
AM134	0	1690
AM135	3	2900
AM136	NA	48.8
AM137	9	2380
AM138	9	2430
AM139	8	405
AM140	0	24.4
AM141	6	405
AM142	9	1300
AM143	0	75
AM144	9	1260
AM149	9	1520
AM150	9	810
AM151	NA	2530
AM153	4	1040
AM154	9	1080
AM172	9	324
AM186	4	1890
AM203	5	520
AM204	3	2160
AM206	4	2530
AM207	8	2060
AM212	9	1300
AM216	4	2380
AM225	9	2530
AM228	9	0
AM229	8	1890
AM231	7	760
AM232	9	712
AM233	4	810
AM268	9	405
AM269	4	2430
AM270	9	162
AM271	3	187.5
AM272	0	24.4
AM273	9	2530
AM274	0	292
AM275	4	187.5
AM276	0	288
AM277	1	150
AM278	9	2430
AM279	9	3100
AM280	0	2060
AM281	9	150
AM282	3	146
AM288	9	1890
AM296	9	3.4
AM297	8	1840
AM299	0	1840
AM302	9	150
AM303	9	1890
AM304	9	1840
AM305	5	75
AM309	NA	1350
AM311	9	1990
AM313	9	405
AM314	9	75
AM315	9	37.5
AM316	NA	3100
AM317	7	1890
AM318	9	760
AM319	3	0
AM320	1	2380
AM327	9	1260
AM336	NA	576
